date,Date,pm25_sea_ma
22-01-2018 17:00,22-01-2018,295
22-01-2018 18:00,22-01-2018,311
22-01-2018 19:00,22-01-2018,311
22-01-2018 20:00,22-01-2018,350
22-01-2018 21:00,22-01-2018,342
22-01-2018 22:00,22-01-2018,347
22-01-2018 23:00,22-01-2018,339
23-01-2018 00:00,23-01-2018,325
23-01-2018 01:00,23-01-2018,313
23-01-2018 02:00,23-01-2018,315
23-01-2018 03:00,23-01-2018,318
23-01-2018 04:00,23-01-2018,325
23-01-2018 05:00,23-01-2018,332
23-01-2018 06:00,23-01-2018,323
23-01-2018 07:00,23-01-2018,316
23-01-2018 08:00,23-01-2018,306
23-01-2018 09:00,23-01-2018,315
23-01-2018 10:00,23-01-2018,321
23-01-2018 11:00,23-01-2018,305
23-01-2018 12:00,23-01-2018,300
23-01-2018 13:00,23-01-2018,175.375
23-01-2018 14:00,23-01-2018,177
23-01-2018 15:00,23-01-2018,132.1875
23-01-2018 16:00,23-01-2018,189.4375
23-01-2018 17:00,23-01-2018,198.5625
23-01-2018 18:00,23-01-2018,211.875
23-01-2018 19:00,23-01-2018,227.875
23-01-2018 20:00,23-01-2018,274.4375
23-01-2018 21:00,23-01-2018,321.5625
23-01-2018 22:00,23-01-2018,341.5625
23-01-2018 23:00,23-01-2018,352.5
24-01-2018 00:00,24-01-2018,347.625
24-01-2018 01:00,24-01-2018,330.3125
24-01-2018 02:00,24-01-2018,336.3125
24-01-2018 03:00,24-01-2018,339.25
24-01-2018 04:00,24-01-2018,329
24-01-2018 05:00,24-01-2018,312.75
24-01-2018 06:00,24-01-2018,320.9375
24-01-2018 07:00,24-01-2018,340.25
24-01-2018 08:00,24-01-2018,321.5625
24-01-2018 09:00,24-01-2018,327.5
24-01-2018 10:00,24-01-2018,315.375
24-01-2018 11:00,24-01-2018,251.7777778
24-01-2018 12:00,24-01-2018,270.2777778
24-01-2018 13:00,24-01-2018,208.9
24-01-2018 14:00,24-01-2018,211.4
24-01-2018 15:00,24-01-2018,169
24-01-2018 16:00,24-01-2018,203.4
